"*ADAPTER, CATHETER","Ccsb4111426","CDM","270","RC","","","","","facility","both","","","","0.91","0.91","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ADAPTER, UROSTOMY DRAIN TUBE","Wilm544771","CDM","270","RC","","","","","facility","both","","","","5.82","5.82","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*ANCHOR, BUTTERFLY","AngiWmSup67283","CDM","278","RC","C1883","HCPCS","","","facility","both","","","","183.92","183.92","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE SUCTION 500ML","CcsbUS100777","CDM","270","RC","","","","","facility","both","","","","166.41","166.41","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE SUCTION 500ML","CcspMR100777","CDM","270","RC","","","","","facility","both","","","","166.41","166.41","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE W/TWIST VALVE","Cccc567963","CDM","270","RC","","","","","facility","both","","","","61.25","61.25","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, DRAINAGE W/TWIST VALVE","CcsbUS7963","CDM","270","RC","","","","","facility","both","","","","61.25","61.25","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, LEG URI-DRAIN MED","CcbcMg2465","CDM","270","RC","","","","","facility","both","","","","16.86","16.86","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, LEG URI-DRAIN MED","CcimUS2465","CDM","270","RC","","","","","facility","both","","","","16.86","16.86","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, LEG URI-DRAIN MED","CuroCh2465","CDM","270","RC","","","","","facility","both","","","","16.86","16.86","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, LEG URI-DRAIN MED","Wilm382465","CDM","270","RC","","","","","facility","both","","","","16.86","16.86","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, LEG URI-DRAIN MED","Wilm542465","CDM","270","RC","","","","","facility","both","","","","16.86","16.86","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BAG, LEG URI-DRAIN MED","WilmCT2465","CDM","270","RC","","","","","facility","both","","","","16.86","16.86","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BALL, JURGAN .045 YELLOW","Wilm5427212","CDM","272","RC","","","","","facility","both","","","","36.98","36.98","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BANDAGE, 3"" ELASTIC - STERILE","EplbChSup203451","CDM","270","RC","","","","","facility","both","","","","0.73","0.73","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BANDAGE, COBAN 3"" ST NO LATEX","CcthChSup214140","CDM","270","RC","","","","","facility","both","","","","7","7","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
