"510(k) skin subs, nos",Q4432,HCPCS,,,,,,,,outpatient,,,,,Denver Health Medical Plan,Medicare Advantage,131.27,,,,,,,case rate,131.27,213.74,,,facility
"ALCOHOL, DRUG ABUSE OR DEPENDENCE WITH REHABILITATION THERAPY",895,MS-DRG,,,,,,,,inpatient,,,,,Aetna Healthcare,HMO/POS/PPO,42458.09,,,,,,,case rate,6806.00,42458.09,"If the MS DRG submission does not match the MS DRG assigned by the company's grouper, the payment will be calculated using the company-assigned MS DRG. Payment shall be lesser of the contracted DRG rate or Total billed charges | Reimbursement is 61% of charges, when total claim charges is greater than $288,750","If the MS DRG submission does not match the MS DRG assigned by the company's grouper, the payment will be calculated using the company-assigned MS DRG. Payment shall be lesser of the contracted DRG rate or Total billed charges | Reimbursement is 61% of charges, when total claim charges is greater than $288,750",facility
"ALCOHOL, DRUG ABUSE OR DEPENDENCE WITH REHABILITATION THERAPY",895,MS-DRG,,,,,,,,inpatient,,,,,Cigna Healthcare,HMO/POS/PPO,32613.95,,,,,,,fee schedule,6806.00,42458.09,"Reimbursement will be the lesser of the total Billed charges for the inpatient stay or the applicable MS-DRG Case Rate. Stoploss threshold is $314,123.25. Hospital will be reimbursed at 67.2% of total billed charges, less applicable Copayments, Coinsurance and Deductibles, for Covered Services rendered to the participant during the entire covered acute inpatient stay. Stoploss: reimbursed at 67.2% of total billed charges when claim's charge exceeds $331,400","Reimbursement will be the lesser of the total Billed charges for the inpatient stay or the applicable MS-DRG Case Rate. Stoploss threshold is $314,123.25. Hospital will be reimbursed at 67.2% of total billed charges, less applicable Copayments, Coinsurance and Deductibles, for Covered Services rendered to the participant during the entire covered acute inpatient stay. Stoploss: reimbursed at 67.2% of total billed charges when claim's charge exceeds $331,400",facility
"AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH CC",617,MS-DRG,,,,,,,,inpatient,,,,,Cigna Healthcare,HMO/POS/PPO,43509.29,,,,,,,fee schedule,6852.00,56095.91,"Reimbursement will be the lesser of the total Billed charges for the inpatient stay or the applicable MS-DRG Case Rate. Stoploss threshold is $314,123.25. Hospital will be reimbursed at 67.2% of total billed charges, less applicable Copayments, Coinsurance and Deductibles, for Covered Services rendered to the participant during the entire covered acute inpatient stay. Stoploss: reimbursed at 67.2% of total billed charges when claim's charge exceeds $331,400","Reimbursement will be the lesser of the total Billed charges for the inpatient stay or the applicable MS-DRG Case Rate. Stoploss threshold is $314,123.25. Hospital will be reimbursed at 67.2% of total billed charges, less applicable Copayments, Coinsurance and Deductibles, for Covered Services rendered to the participant during the entire covered acute inpatient stay. Stoploss: reimbursed at 67.2% of total billed charges when claim's charge exceeds $331,400",facility
"ARIPiprazole 300 mg suspension,extended rel syring 1 each Syringe",J0401,HCPCS,0250,RC,59148004580,NDC,25000002,CDM,,inpatient,1,EA,6169.04,2159.17,Aetna Healthcare,Medicare Advantage,,,Service is bundled into MS-DRG payment where appropriate,,,,0,other,2115.98,2115.98,No services performed during 15-month lookback period.,,facility
"ARIPiprazole 400 mg suspension,extended rel recon 1 each Vial",J0401,HCPCS,0250,RC,59148001971,NDC,25000002,CDM,,inpatient,1,EA,8225.38,2878.89,Denver Health Medical Plan Elevate,HMO/POS/PPO,,,Service is bundled into MS-DRG payment where appropriate,,,,0,other,2821.31,2821.31,No services performed during 15-month lookback period.,,facility
"ARIPiprazole 400 mg suspension,extended rel recon 1 each Vial",J0401,HCPCS,0250,RC,59148001971,NDC,25000002,CDM,,outpatient,1,EA,8225.38,2878.89,CMS,Medicare,7.27,,,,,,,case rate,7.27,2821.31,,,facility
"ARIPiprazole 400 mg suspension,extended rel syring 1 each Syringe",J0401,HCPCS,0250,RC,59148007280,NDC,25000002,CDM,,outpatient,1,EA,8225.38,2878.89,Aetna Healthcare,Medicare Advantage,7.27,,,,,,,case rate,7.27,2821.31,,,facility
"Acesso tl, per sq cm",Q4300,HCPCS,,,,,,,,outpatient,,,,,Aetna Healthcare,Medicare Advantage,131.27,,,,,,,case rate,131.27,3806.46,,,facility
"Add UE prost be/wd, ultlite",L7400,HCPCS,,,,,,,,outpatient,,,,,Aetna Healthcare,Medicare Advantage,381.55,,,,,,,case rate,320.29,621.24,,,facility
