"10 BOTTLE, GLASS in 1 BOX (0407-2223-02)  / 100 mL in 1 BOTTLE, GLASS","17595_00407222302","CDM","636","RC","Q9967","HCPCS","00407222302","NDC","facility","both","1","EA",,"4.96","4.96",,,,,,,,,,,,,"Price is variable based on underlying billing methodology - especially, for drug and supply items."
"1st psyc collab care mgmt","99492","HCPCS",,,,,,,"facility","outpatient",,,,,,"Ambetter Health","Peach State Exchange","216.02",,,,,,,"fee schedule","101.9","216.02","APC"
"2019 nCoV diagnostic P","U0001","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Medicare Managed Care Plan","36.64",,,,,,,"fee schedule","26.94","76.15","APC"
"2d cephalometric image","D0340","HCPCS",,,,,,,"facility","outpatient",,,,,,"Wellcare","Medicare Managed Care Plan","92.53",,,,,,,"fee schedule","87.29","185.05","APC"
"2d tee w or w/o fol w/con,in","C8925","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Medicare Managed Care Plan","802.02",,,,,,,"fee schedule","786.29","1666.94","APC"
"2d tee w or w/o fol w/con,in","C8925","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","786.29",,,,,,,"fee schedule","786.29","1666.94","APC"
"2d tte w or w/o fol w/con,co","C8923","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan","794.15",,,,,,,"fee schedule","786.29","1666.94","APC"
"365 d implant glucose sensor","G0564","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","7268.12",,,,,,,"fee schedule","4419.21","7870",
"3d cntr simula trgt lvr les","0944T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Ambetter Health","Peach State Exchange","507.37",,,,,,,"fee schedule","239.32","507.37","APC"
"3d cntr simula trgt lvr les","0944T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan","241.72",,,,,,,"fee schedule","239.32","507.37","APC"
"Abd paracentesis w/imaging","49083","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","3722.82",,,,,,,"fee schedule","909.73","4840.09",
"Abd paracentesis w/imaging","49083","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Hmo/Pos","4840.09",,,,,,,"fee schedule","909.73","4840.09",
"Abd paracentesis","49082","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","955.21",,,,,,,"fee schedule","909.73","4840.09","APC"
"Abeta42 & ttau eclia csf","0459U","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","273.53",,,,,,,"fee schedule","260.5","552.26","APC"
"Abilify Maintena: 1 Kit In 1 Carton (59148-072-80)  *  1.9 Ml In 1 Syringe *  5 Ml In 1 Syringe","146004_59148007280","CDM","636","RC","J0401","HCPCS","59148007280","NDC","facility","both","1","EA",,"17.49","17.49",,,,,,,,,,,,,"Price is variable based on underlying billing methodology - especially, for drug and supply items."
"Abl1 gene","81170","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","300",,,,,,,"fee schedule","225","636",
"Ablate heart dysrhythm focus","33250","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Hmo/Pos","8821.68",,,,,,,"fee schedule","3051","8821.68",
"Ablate inf turbinate superf","30801","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Exchange","2572",,,,,,,"fee schedule","1556.28","5051.48",
"Ablate inf turbinate superf","30801","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","1556.28",,,,,,,"fee schedule","1556.28","5051.48","APC"
"Ablate pulm tumor perq crybl","32994","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","10981.84",,,,,,,"fee schedule","4817","22603.4","APC"
"Ablt mal brst tum pq lsr uni","0971T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Wellcare","Medicare Managed Care Plan","4162.91",,,,,,,"fee schedule","3927.28","8325.82","APC"
"Abltj b9 thyr ndul perq lasr","0673T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Pathways Exchange","3011.79",,,,,,,"fee schedule","1656.59","10726",
"Abltj ire prst8 1+ tum perq","55877","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","10981.84",,,,,,,"fee schedule","10661.98","22603.4","APC"
"Abltj mal brst tum perq crtx","0581T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","4123.64",,,,,,,"fee schedule","3514.53","8325.82","APC"
"Abltj mal prst8 tiss hifu","55880","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan","9590.04",,,,,,,"fee schedule","3295","20129.59","APC"
"Abo gnotyp next gnrj seq abo","0221U","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Medicare Managed Care Plan","280.33",,,,,,,"fee schedule","206.12","582.64","APC"
"Abo gnotyp next gnrj seq abo","0221U","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","274.83",,,,,,,"fee schedule","206.12","582.64",
"Abortion With D&C, Aspiration Curettage Or Hysterotomy","770","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Aetna","Hmo/Pos","21172.64",,,,,,,"fee schedule","10895.34","23098.12",
"Abortion With D&C, Aspiration Curettage Or Hysterotomy","770","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Amerigroup","Medicaid Managed Care Plan",,,"[Inpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://dch.georgia.gov/providers/provider-types/hospital-providers]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Abortion Without D&C","779","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Aetna","Exchange","15202.9",,,,,,,"fee schedule","9475.44","20087.93",
"Abortion","59840","HCPCS",,,,,,,"facility","outpatient",,,,,,"Ambetter Health","Peach State Exchange","6883.46",,,,,,,"fee schedule","3011.79","8364.54","APC"
"Abortion","59850","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","3826",,,,,,,"fee schedule","3011.79","5051.48",
"Abortion","59851","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","4797",,,,,,,"fee schedule","3011.79","5051.48",
