"1st Psychiatric Collab Care Mgmt 1st 70 Mins","PX-51000644","CDM","99492","CPT","0510","RC","","","","both","","","437.00","327.75","MGB HEALTH PLAN [150001]","HB AMC MGBHP COMMERCIAL HMO","159.51","36.5","","149.57","127.12","158.15","28","104.36","336.49","percent of total billed charges",""
"1st Psychiatric Collab Care Mgmt 1st 70 Mins","PX-51000644","CDM","99492","CPT","0510","RC","","","","both","","","437.00","327.75","MGB HEALTH PLAN [150001]","HB MGH MEDICARE","109.84","","APC Price ($109.84). If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.222). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($7,175) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement.","96.14","95.34","107.65","1 through 10","104.36","336.49","other","OPPS APC"
"1st Psychiatric Collab Care Mgmt 1st 70 Mins","PX-98301770","CDM","99492","CPT","0983","RC","","","","outpatient","","","409.00","306.75","UNITED HEALTHCARE [1016]","HB AMC UNITED HMO / INDEMNITY","334.23","81.72","","659.51","362.75","659.51","1 through 10","204.5","575.66","percent of total billed charges",""
"1st/Sbsq Psych Collab Care Mgmt Ea Addl 30 Mins","PX-98301772","CDM","99494","CPT","0983","RC","","","","both","","","175.00","131.25","WELLPOINT [1015]","HB AMC WELLPOINT","129.12","73.78","","130.29","130.29","864.29","37","54.25","139.13","percent of total billed charges",""
"ABDUCTOR SHOULDER MED SURGICAL","SUP-ITM-10008529","CDM","L3660","HCPCS","0274","RC","","","","both","","","612.50","459.37","MGB HEALTH PLAN [150001]","HB AMC MGBHP COMMERCIAL PPO","234.59","38.3","","52.33","52.33","52.33","1 through 10","148.06","581.88","percent of total billed charges",""
"ACETABULAR AUGMENT 66X20MM TRABECULAR METAL 22","SUP-ITM-10019186","CDM","C1776","HCPCS","0278","RC","","","","both","","","3281.25","2460.94","INTERNATIONAL COMMERCIAL [140001]","HB AMC QHM INTERNATIONAL","2362.50","72","","9180.00","9180.00","9180.00","1 through 10","1017.19","2608.59","percent of total billed charges",""
"ACETABULAR AUGMENT 66X20MM TRABECULAR METAL 22","SUP-ITM-10019186","CDM","C1776","HCPCS","0278","RC","","","","outpatient","","","3281.25","2460.94","AETNA [1001]","HB AMC AETNA HMO","2290.31","69.8","","2111.40","1091.76","3234.47","108","1640.63","2681.44","percent of total billed charges",""
"ACETABULAR CUP 48MM SIZE 22 REVISION REGENEREX/RNGLC+ SOLID 08","SUP-ITM-10029401","CDM","C1776","HCPCS","0278","RC","","","","both","","","3150.00","2362.50","HEALTH NEW ENGLAND [1034]","HB AMC CLARITEV (PRIMARY PPO)","2425.50","77","","29636.01","29636.01","29636.01","1 through 10","976.5","2504.25","percent of total billed charges",""
"ACETABULAR CUP 48MM SIZE 22 REVISION REGENEREX/RNGLC+ SOLID 08","SUP-ITM-10029401","CDM","C1776","HCPCS","0278","RC","","","","outpatient","","","3150.00","2362.50","AETNA [1001]","HB AMC AETNA HMO","2198.70","69.8","","2111.40","1091.76","3234.47","108","1575","2574.18","percent of total billed charges",""
"ACETABULAR CUP 52X58MM BIRMINGHAM RESURFACING COBALT HA COATING POROUS IMPACTOR","SUP-ITM-10042847","CDM","C1776","HCPCS","0278","RC","","","","outpatient","","","6842.50","5131.87","AETNA [1001]","HB AMC AETNA HMO","4776.07","69.8","","2111.40","1091.76","3234.47","108","3421.25","5591.69","percent of total billed charges",""
