"3D ANATOMICAL SEGMENTATION IMAGING FOR PREOPERATIVE PLANNING, DATA PREPARATION AND TRANSMISSION, OBTAINED FROM PREVIOUS DIAGNOSTIC COMPUTED TOMOGRAPHIC OR MAGNETIC RESONANCE EXAMINATION OF THE SAME ANATOMY",423C8001_1,CDM,0350,RC,,,C8001,HCPCS,outpatient,,,375.00,243.75,AETNA COMM - ALL OTHER PLANS,AETNA COMM - ALL OTHER PLANS,,226.65,60.44,,226.65,,,0,93.75,1181.00,percent of total billed charges,There were zero instances of the item or service in the 15 months prior to posting the file
"ABORTION WITH D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY",770,MS-DRG,,,,,,,inpatient,1,UN,26746.29,17385.09,MIDLANDS CHOICE STANDARD ,MIDLANDS CHOICE STANDARD ,,18722.41,70.00,,18722.41,,,0,7061.02,26746.29,percent of total billed charges,There were zero instances of the item or service in the 15 months prior to posting the file
"ACETYLCYSTEINE, INHALATION SOLUTION, FDA-APPROVED FINAL PRODUCT, NON-COMPOUNDED, ADMINISTERED THROUGH DME, UNIT DOSE FORM, PER GRAM",123IP _1,CDM,0636,RC,70069-0019-01,NDC,J7608,HCPCS,outpatient,200.0000,ML,19.17,12.46,HEALTH PARTNERS MCR ADV,HEALTH PARTNERS MCR ADV,,19.75,,,,,,0,4.79,49.51,other,APC - Medicare Packaging Rules [HCPCS] ( 19.17*1.03 ) Term Line 40 | There were zero instances of the item or service in the 15 months prior to posting the file
"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC",281,MS-DRG,,,,,,,inpatient,1,UN,33281.84,21633.20,BCBS MCR ADV,BCBS MCR ADV,,8203.68,,,,,,0,8203.68,24776.18,case rate,There were zero instances of the item or service in the 15 months prior to posting the file
"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC",281,MS-DRG,,,,,,,inpatient,1,UN,33281.84,21633.20,BCBS-ALL OTHER PLANS,BCBS-ALL OTHER PLANS,,14644.01,44.00,,14644.01,,,0,8203.68,24776.18,percent of total billed charges,There were zero instances of the item or service in the 15 months prior to posting the file
"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC",280,MS-DRG,,,,,,,inpatient,1,UN,56557.69,36762.50,BCBS-ALL OTHER PLANS,BCBS-ALL OTHER PLANS,,24885.38,44.00,,24885.38,,,0,14317.83,43241.72,percent of total billed charges,There were zero instances of the item or service in the 15 months prior to posting the file
"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH MCC",283,MS-DRG,,,,,,,inpatient,1,UN,62666.94,40733.51,AETNA MCR ADV,AETNA MCR ADV,,17680.17,,,,,,0,16544.07,53396.43,case rate,There were zero instances of the item or service in the 15 months prior to posting the file
"ADDITION OF JOINT TO UPPER EXTREMITY ORTHOSIS, ANY MATERIAL; PER JOINT",L3956_1,CDM,0989,RC,,,L3956,HCPCS,outpatient,,,89.30,58.05,HEALTH PARTNERS MCAID,HEALTH PARTNERS MCAID,,91.09,,,,,,0,73.60,107.16,fee schedule,There were zero instances of the item or service in the 15 months prior to posting the file
"ADDITION OF JOINT TO UPPER EXTREMITY ORTHOSIS, ANY MATERIAL; PER JOINT",L3956_1,CDM,0989,RC,,,L3956,HCPCS,outpatient,,,89.30,58.05,MEDICA ELEVATE,MEDICA ELEVATE,,73.60,,,,,,0,73.60,107.16,fee schedule,There were zero instances of the item or service in the 15 months prior to posting the file
"ADMINISTRATION OF A STANDARDIZED, EVIDENCE-BASED ASSESSMENT OF PHYSICAL ACTIVITY AND NUTRITION, 5-15 MINUTES, NOT MORE OFTEN THAN EVERY 6 MONTHS",300G0136_1,CDM,0510,RC,,,G0136,HCPCS,outpatient,,,96.00,62.40,MEDICA MCR ADV,MEDICA MCR ADV,,96.00,,,,,,0,24.00,247.92,other,APC - Medicare Packaging Rules [HCPCS] ( 96.00*1 ) Term Line 43 | There were zero instances of the item or service in the 15 months prior to posting the file
"ADMINISTRATION OF A STANDARDIZED, EVIDENCE-BASED ASSESSMENT OF PHYSICAL ACTIVITY AND NUTRITION, 5-15 MINUTES, NOT MORE OFTEN THAN EVERY 6 MONTHS",300G0136_1,CDM,0510,RC,,,G0136,HCPCS,outpatient,,,96.00,62.40,MOLINA MCAID - ALL OTHER PLANS,MOLINA MCAID - ALL OTHER PLANS,,43.20,45.00,,43.2,,,0,24.00,247.92,percent of total billed charges,There were zero instances of the item or service in the 15 months prior to posting the file
"ADVATE 2,401-3,600 UNIT VIAL",99576IP _1,CDM,0636,RC,00944-3046-10,NDC,,,outpatient,3000.0000,EA,27543.72,17903.42,MEDICA ELEVATE,MEDICA ELEVATE,,14543.08,52.80,,14543.08,,,0,6885.93,19280.60,percent of total billed charges,There were zero instances of the item or service in the 15 months prior to posting the file
"AFAMELANOTIDE IMPLANT, 1 MG",195398OP _1,CDM,0636,RC,73372-0116-01,NDC,J7352,HCPCS,outpatient,16.0000,EA,125775.90,81754.34,AETNA MCR ADV,AETNA MCR ADV,,125775.90,,,,,,0,3120.03,324816.26,other,APC - Medicare Packaging Rules [HCPCS] ( 125775.90*1 ) Term Line 37 | There were zero instances of the item or service in the 15 months prior to posting the file
