"""""""Hb 43999 Unlisted Procedure Stomach""","75000184","CDM","750","RC","","","","","facility","both","","","","6069","2124.15","","","","","","","","","","","","","Gross Charge Type: Fsid 100"
"2d tte w or w/o fol w/con,fu","C8924","HCPCS","","","","","","","facility","outpatient","","","","","","Longevity","Medicare Managed Care Plan","397.11","","","","","","","fee schedule","364.32","728.64","APC"
"3d anat seg imaging preop","C8001","HCPCS","","","","","","","facility","outpatient","","","","","","Ultimate Health Plans","Medicare Managed Care Plan","141.09","","","","","","","fee schedule","134.37","268.74","APC"
"4-bar link above knee w/swng","L5614","HCPCS","","","","","","","facility","outpatient","","","","","","Oscar","Exchange","4178.26","","","","","","","fee schedule","2089.13","4178.26","APC"
"ACETAMINOPHEN 325 MG TABLET [101]","0536-1327-01","NDC","","","","","","","facility","both","1","EA","","0.02","0.00595","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ACETAMINOPHEN 650 MG RECTAL SUPPOSITORY [105]","45802-730-32","NDC","","","","","","","facility","both","1","EA","","0.28","0.10","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ACETAMINOPHEN 650 MG/20.3 ML ORAL SOLUTION [113787]","66689-056-01","NDC","","","","","","","facility","both","1","EA","","0.33","0.12","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ACETAZOLAMIDE 500 MG SOLUTION FOR INJECTION [114]","J1120","HCPCS","55390-460-01","NDC","","","","","facility","both","1","EA","","325.98","114.09","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 VIAL"
"ACYCLOVIR 200 MG/5 ML ORAL SUSPENSION [8970]","31722-681-47","NDC","","","","","","","facility","both","1","EA","","36.53","12.78","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ACYCLOVIR 400 MG TABLET [8971]","50268-061-15","NDC","","","","","","","facility","both","1","EA","","0.29","0.10","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ADEFOVIR 10 MG TABLET [33816]","61958-0501-1","NDC","","","","","","","facility","both","1","EA","","54.34","19.02","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AK/BK self-aligning unit ea","L5617","HCPCS","","","","","","","facility","outpatient","","","","","","Health First Health Plans","Medicare Managed Care Plan","1246.84","","","","","","","fee schedule","692.69","1385.38","APC"
"ALBUMIN, HUMAN 25 % INTRAVENOUS SOLUTION [8981]","P9047","HCPCS","68516-5216-4","NDC","","","","","facility","both","1","EA","","11.65","4.08","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ALBUTEROL SULFATE 2.5 MG/3 ML (0.083 %) SOLUTION FOR NEBULIZATION [250]","J7613","HCPCS","0378-6990-58","NDC","","","","","facility","both","1","EA","","7.16","2.51","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ALBUTEROL SULFATE 2.5 MG/3 ML (0.083 %) SOLUTION FOR NEBULIZATION [250]","J7613","HCPCS","76204-200-60","NDC","","","","","facility","both","1","EA","","7.16","2.51","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ALBUTEROL SULFATE HFA 90 MCG/ACTUATION AEROSOL INHALER [17837]","0173-0682-21","NDC","","","","","","","facility","both","1","EA","","53.61","18.76","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 G"
"ALISKIREN 150 MG TABLET [78653]","70839-150-30","NDC","","","","","","","facility","both","1","EA","","9.69","3.39","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMIKACIN 1,000 MG/4 ML INJECTION SOLUTION [147620]","J0278","HCPCS","23155-290-42","NDC","","","","","facility","both","1","EA","","512.15","179.25","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"AMINOLEVULINIC ACID HCL 30 MG/ML ORAL SOLUTION [183087]","71469-231-01","NDC","","","","","","","facility","both","1","EA","","8949.28","3132.25","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMLODIPINE 5 MG TABLET [9071]","50268-084-15","NDC","","","","","","","facility","both","1","EA","","0.10","0.03","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMOXICILLIN 400 MG/5 ML ORAL SUSPENSION [25246]","0781-6157-52","NDC","","","","","","","facility","both","1","EA","","16.24","5.68","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"AMOXICILLIN 500 MG CAPSULE [451]","0093-3109-93","NDC","","","","","","","facility","both","1","EA","","0.18","0.06","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMPHOTERICIN B LIPOSOME 50 MG INTRAVENOUS SUSPENSION [21900]","J0289","HCPCS","62756-233-01","NDC","","","","","facility","both","1","EA","","179.09","62.68","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMPICILLIN 250 MG SOLUTION FOR INJECTION [473]","J0290","HCPCS","0781-9402-78","NDC","","","","","facility","both","1","EA","","73.44","25.70","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMPICILLIN 500 MG SOLUTION FOR INJECTION [474]","J0290","HCPCS","0781-9407-95","NDC","","","","","facility","both","1","EA","","73.44","25.70","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ANAKINRA 100 MG/0.67 ML SUBCUTANEOUS SYRINGE [31784]","J3490","HCPCS","66658-234-01","NDC","","","","","facility","both","1","EA","","1087.89","380.76","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ARIPIPRAZOLE 5 MG TABLET [36438]","0904-7367-06","NDC","","","","","","","facility","both","1","EA","","48.70","17.05","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ARSENIC TRIOXIDE 2 MG/ML INTRAVENOUS SOLUTION [180972]","J9017","HCPCS","63459-601-06","NDC","","","","","facility","both","1","EA","","801.09","280.38","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ASENAPINE 5 MG SUBLINGUAL TABLET [99754]","0456-2405-60","NDC","","","","","","","facility","both","1","EA","","20.01","7.00","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ASENAPINE 5 MG SUBLINGUAL TABLET [99754]","0456-2405-63","NDC","","","","","","","facility","both","1","EA","","20.01","7.00","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
