"2d cephalometric image","D0340","HCPCS","","","","","","","facility","outpatient","","","","","","Aetna","Medicare Managed Care Plan","91.79","","","","","","","fee schedule","90.88","181.76","APC"
"2d cephalometric image","D0340","HCPCS","","","","","","","facility","outpatient","","","","","","Cigna","Medicare Managed Care Plan","97.24","","","","","","","fee schedule","90.88","181.76","APC"
"3d cntr simula trgt lvr les","0944T","HCPCS","","","","","","","facility","outpatient","","","","","","Baycare","Medicare Managed Care Plan","256.64","","","","","","","fee schedule","249.17","498.33","APC"
"4-bar link above knee w/swng","L5614","HCPCS","","","","","","","facility","outpatient","","","","","","Simply Healthcare","Medicare Managed Care Plan","2214.48","","","","","","","fee schedule","2089.13","4178.26","APC"
"ACETAMINOPHEN 300 MG-CODEINE 30 MG TABLET [14087]","65162-033-10","NDC","","","","","","","facility","both","1","EA","","0.25","0.09","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ACETAMINOPHEN 325 MG TABLET [101]","0904-1982-61","NDC","","","","","","","facility","both","1","EA","","0.02","0.00875","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ACETAMINOPHEN 325 MG TABLET [101]","50580-501-80","NDC","","","","","","","facility","both","1","EA","","0.04","0.02","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ACETAZOLAMIDE 250 MG TABLET [113]","64380-834-06","NDC","","","","","","","facility","both","1","EA","","0.35","0.12","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ACETAZOLAMIDE 500 MG SOLUTION FOR INJECTION [114]","J1120","HCPCS","39822-0190-1","NDC","","","","","facility","both","1","EA","","0.65","0.23","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 MG"
"ACETYLCYSTEINE 20% (200 MG/ML) ORAL SOLN [152975]","0409-3308-03","NDC","","","","","","","facility","both","1","EA","","6.04","2.12","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
