"""""""Hb 92997""","48100111","CDM","481","RC","","","","","facility","both","","","","21991","7696.85","","","","","","","","","","","","","Gross Charge Type: Fsid 100"
"2019 nCoV diagnostic P","U0001","HCPCS","","","","","","","facility","outpatient","","","","","","Bcbs","Medicare Managed Care Plan","36.51","","","","","","","fee schedule","35.92","71.84","APC"
"2019 nCoV diagnostic P","U0001","HCPCS","","","","","","","facility","outpatient","","","","","","Ultimate Health Plans","Medicare Managed Care Plan","37.72","","","","","","","fee schedule","35.92","71.84","APC"
"2d tee w or w/o fol w/con,in","C8925","HCPCS","","","","","","","facility","outpatient","","","","","","Devoted Health","Medicare Managed Care Plan","916.87","","","","","","","fee schedule","818.63","1637.26","APC, OP Rate"
"2d tee w or w/o fol w/con,in","C8925","HCPCS","","","","","","","facility","outpatient","","","","","","Simply Healthcare","Exchange","1375.3","","","","","","","fee schedule","818.63","1637.26","APC"
"2d tte w or w/o fol w/con,co","C8923","HCPCS","","","","","","","facility","outpatient","","","","","","Sunshine Health","Ambetter Exchange","1309.81","","","","","","","fee schedule","818.63","1637.26","APC"
"3d anat seg imaging preop","C8001","HCPCS","","","","","","","facility","outpatient","","","","","","Longevity","Medicare Managed Care Plan","146.46","","","","","","","fee schedule","134.37","268.74","APC"
"3d cntr simula trgt lvr les","0944T","HCPCS","","","","","","","facility","outpatient","","","","","","Bcbs","Medicare Managed Care Plan","253.23","","","","","","","fee schedule","249.17","498.33","APC"
"4-bar link above knee w/swng","L5614","HCPCS","","","","","","","facility","outpatient","","","","","","Molina","Exchange","3133.7","","","","","","","fee schedule","2089.13","4178.26","APC"
"5% dextrose/normal saline","J7042","HCPCS","","","","","","","facility","outpatient","","","","","","Unitedhealthcare","Exchange","1.44","","","","","","","fee schedule","1.25","1.44",""
"ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY [103]","45802-732-33","NDC","","","","","","","facility","both","1","EA","","0.20","0.07","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ACETAMINOPHEN 325 MG TABLET [101]","49483-340-01","NDC","","","","","","","facility","both","1","EA","","0.03","0.00945","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ACETAZOLAMIDE 125 MG TABLET [112]","23155-287-01","NDC","","","","","","","facility","both","1","EA","","0.26","0.09","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ACETAZOLAMIDE 500 MG SOLUTION FOR INJECTION [114]","J1120","HCPCS","39822-0190-7","NDC","","","","","facility","both","1","EA","","325.18","113.81","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ACETYLCYSTEINE 200 MG/ML (20 %) INTRAVENOUS SOLUTION [38303]","J0132","HCPCS","25021-812-30","NDC","","","","","facility","both","1","EA","","27.00","9.45","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ADDITIVE FOR DIALYSIS DEXTROSE 24 GRAMS [408308]","9999-0038-01","NDC","","","","","","","facility","both","1","EA","","13.53","4.73","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 PACKET"
"ADENOSINE 3 MG/ML INTRAVENOUS SOLUTION [8975]","J0153","HCPCS","25021-318-02","NDC","","","","","facility","both","1","EA","","249.96","87.48","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"AFO supramalleolar custom","L1907","HCPCS","","","","","","","facility","outpatient","","","","","","Bcbs","Medicare Managed Care Plan","706.6","","","","","","","fee schedule","695.27","1390.54","APC"
"AFO supramalleolar custom","L1907","HCPCS","","","","","","","facility","outpatient","","","","","","Truli For Health","All Commercial Plans","1321.01","","","","","","","fee schedule","695.27","1390.54","APC"
"AK/BK self-aligning unit ea","L5617","HCPCS","","","","","","","facility","outpatient","","","","","","Sunshine Health","Ambetter Value Exchange","1048.87","","","","","","","fee schedule","692.69","1385.38","APC"
"ALBUTEROL SULFATE HFA 90 MCG/ACTUATION AEROSOL INHALER [17837]","0254-1007-52","NDC","","","","","","","facility","both","1","EA","","50.52","17.68","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 G"
"ALLOPURINOL 100 MG TABLET [310]","0378-0137-01","NDC","","","","","","","facility","both","1","EA","","0.28","0.10","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ALLOPURINOL 100 MG TABLET [310]","51079-205-01","NDC","","","","","","","facility","both","1","EA","","0.31","0.11","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ALLOPURINOL 300 MG TABLET [311]","62584-713-11","NDC","","","","","","","facility","both","1","EA","","0.74","0.26","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ALTEPLASE 2 MG INTRA-CATHETER SOLUTION [31310]","J2997","HCPCS","50242-041-64","NDC","","","","","facility","both","1","EA","","523.11","183.09","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ALTEPLASE 2 MG INTRA-CATHETER SOLUTION [31310]","J2997","HCPCS","9999-9313-10","NDC","","","","","facility","both","1","EA","","523.11","183.09","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMBRISENTAN 5 MG TABLET [82307]","61958-0801-3","NDC","","","","","","","facility","both","1","EA","","288.57","101.00","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMIKACIN 1,000 MG/4 ML INJECTION SOLUTION [147620]","J0278","HCPCS","23155-786-41","NDC","","","","","facility","both","1","EA","","512.15","179.25","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"AMINOCAPROIC ACID 250 MG/ML (25 %) ORAL SOLUTION [9062]","17478-447-08","NDC","","","","","","","facility","both","1","EA","","45.30","15.85","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"AMIODARONE 200 MG TABLET [9066]","0245-0147-89","NDC","","","","","","","facility","both","1","EA","","0.37","0.13","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMITRIPTYLINE 25 MG TABLET [435]","0781-1487-01","NDC","","","","","","","facility","both","1","EA","","0.29","0.10","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMLODIPINE 10 MG TABLET [9069]","60687-496-11","NDC","","","","","","","facility","both","1","EA","","0.16","0.05","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMLODIPINE 2.5 MG-BENAZEPRIL 10 MG CAPSULE [14820]","0078-0404-05","NDC","","","","","","","facility","both","1","EA","","6.98","2.44","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMOXICILLIN 125 MG/5 ML ORAL SUSPENSION [453]","0781-6039-58","NDC","","","","","","","facility","both","1","EA","","18.94","6.63","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"AMPICILLIN 2 GRAM SOLUTION FOR INJECTION [472]","J0290","HCPCS","44567-103-10","NDC","","","","","facility","both","1","EA","","293.76","102.82","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMPICILLIN-SULBACTAM 1.5 GRAM SOLUTION FOR INJECTION [32470]","J0295","HCPCS","0049-0013-81","NDC","","","","","facility","both","1","EA","","109.52","38.33","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMPICILLIN-SULBACTAM 1.5 GRAM SOLUTION FOR INJECTION [32470]","J0295","HCPCS","0049-0013-83","NDC","","","","","facility","both","1","EA","","109.52","38.33","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMPICILLIN-SULBACTAM 3 GRAM SOLUTION FOR INJECTION [32471]","J0295","HCPCS","0641-6117-10","NDC","","","","","facility","both","1","EA","","219.03","76.66","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMPICILLIN-SULBACTAM 3 GRAM SOLUTION FOR INJECTION [32471]","J0295","HCPCS","44567-211-10","NDC","","","","","facility","both","1","EA","","219.03","76.66","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ANASTROZOLE 1 MG TABLET [16205]","60505-2985-3","NDC","","","","","","","facility","both","1","EA","","1.3","0.46","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ARIPIPRAZOLE 10 MG TABLET [34369]","60687-179-11","NDC","","","","","","","facility","both","1","EA","","8.22","2.88","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ARIPIPRAZOLE 2 MG TABLET [70306]","59148-006-13","NDC","","","","","","","facility","both","1","EA","","19.46","6.81","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ASPIRIN 325 MG TABLET,DELAYED RELEASE [685]","63739-023-01","NDC","","","","","","","facility","both","1","EA","","0.03","0.01","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ATENOLOL 25 MG TABLET [717]","51079-759-20","NDC","","","","","","","facility","both","1","EA","","0.17","0.06","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ATORVASTATIN 10 MG TABLET [19176]","68084-097-11","NDC","","","","","","","facility","both","1","EA","","0.37","0.13","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ATORVASTATIN 80 MG TABLET [28645]","68084-590-25","NDC","","","","","","","facility","both","1","EA","","0.68","0.24","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ATROPINE 1 % EYE DROPS [736]","17478-215-05","NDC","","","","","","","facility","both","1","EA","","50.06","17.52","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"AZACITIDINE 100 MG SOLUTION FOR INJECTION [78420]","J9025","HCPCS","0781-9253-94","NDC","","","","","facility","both","1","EA","","4380.68","1533.24","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AZACITIDINE 100 MG SOLUTION FOR INJECTION [78420]","J9025","HCPCS","16729-306-10","NDC","","","","","facility","both","1","EA","","4380.68","1533.24","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AZITHROMYCIN 250 MG TABLET [20943]","60687-282-01","NDC","","","","","","","facility","both","1","EA","","1.74","0.61","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"Abatacept injection","J0129","HCPCS","","","","","","","facility","outpatient","","","","","","Aetna","Medicare Managed Care Plan","44.55","","","","","","","fee schedule","43.38","88.22","APC"
"Abd paracentesis w/imaging","49083","HCPCS","","","","","","","facility","outpatient","","","","","","Bcbs","Medicare Managed Care Plan","962.58","","","","","","","fee schedule","947.15","2923","APC"
"Abd paracentesis w/imaging","49083","HCPCS","","","","","","","facility","outpatient","","","","","","Capital Health Plan Tallahassee","Medicare Managed Care Plan","947.15","","","","","","","fee schedule","947.15","2923","APC"
"Abdomen surgery procedure","22999","HCPCS","","","","","","","facility","outpatient","","","","","","Unitedhealthcare","Hmo/Pos","972","","","","","","","fee schedule","257.59","3993",""
"Abdominal pad","L1270","HCPCS","","","","","","","facility","outpatient","","","","","","Bcbs","Medicare Managed Care Plan","115.49","","","","","","","fee schedule","113.64","227.28","APC"
"Abdominal pad","L1270","HCPCS","","","","","","","facility","outpatient","","","","","","Freedom Health","Medicare Managed Care Plan","115.91","","","","","","","fee schedule","113.64","227.28","APC"
"Abduction bar-straight","L2310","HCPCS","","","","","","","facility","outpatient","","","","","","Aetna","Medicare Managed Care Plan","142.78","","","","","","","fee schedule","141.37","282.74","APC"
"Abduction bar-straight","L2310","HCPCS","","","","","","","facility","outpatient","","","","","","Sunshine Health","Ambetter Exchange","226.19","","","","","","","fee schedule","141.37","282.74","APC"
"Abduction rotation bar shoe","L3140","HCPCS","","","","","","","facility","outpatient","","","","","","Care Plus Health Plans","Medicare Managed Care Plan","111.79","","","","","","","fee schedule","110.03","220.06","APC"
"Ablate atria lmtd add-on","33257","HCPCS","","","","","","","facility","outpatient","","","","","","Cigna","Ppo","3993","","","","","","","fee schedule","3613","4992",""
"Ablate atria x10sv endo","33266","HCPCS","","","","","","","facility","outpatient","","","","","","Unitedhealthcare","Exchange","3613","","","","","","","fee schedule","3613","4992",""
"Ablate atria x10sv endo","33266","HCPCS","","","","","","","facility","outpatient","","","","","","Unitedhealthcare","Hmo/Pos","4992","","","","","","","fee schedule","3613","4992",""
"Ablate bone tumor(s) perq","20982","HCPCS","","","","","","","facility","outpatient","","","","","","Simply Healthcare","Medicare Managed Care Plan","19408.81","","","","","","","fee schedule","3885","36620.39","APC"
"Ablate bone tumor(s) perq","20983","HCPCS","","","","","","","facility","outpatient","","","","","","Baycare","Medicare Managed Care Plan","7804.84","","","","","","","fee schedule","3885","15155.02","APC"
"Ablate heart dysrhythm focus","93650","HCPCS","","","","","","","facility","outpatient","","","","","","Simply Healthcare","Exchange","13683.64","","","","","","","fee schedule","8145.02","16290.05","APC"
"Ablate inf turbinate submuc","30802","HCPCS","","","","","","","facility","outpatient","","","","","","Simply Healthcare","Medicare Managed Care Plan","1717.5","","","","","","","fee schedule","990.66","3240.57","APC"
"Ablate inf turbinate submuc","30802","HCPCS","","","","","","","facility","outpatient","","","","","","Sunshine Health","Ambetter Exchange","2592.46","","","","","","","fee schedule","990.66","3240.57","APC"
"Ablate pulm tumor perq crybl","32994","HCPCS","","","","","","","facility","outpatient","","","","","","Care Plus Health Plans","Medicare Managed Care Plan","11278.12","","","","","","","fee schedule","3885","22201.02","APC"
"Ablate pulm tumor perq crybl","32994","HCPCS","","","","","","","facility","outpatient","","","","","","Health First Health Plans","Medicare Managed Care Plan","19980.92","","","","","","","fee schedule","3885","22201.02","APC"
"Abltj 1/+thyr ndul 1lobe prq","60660","HCPCS","","","","","","","facility","outpatient","","","","","","Baycare","Medicare Managed Care Plan","1776.47","","","","","","","fee schedule","1724.73","3993","APC"
"Abltj 1/+thyr ndul 1lobe prq","60660","HCPCS","","","","","","","facility","outpatient","","","","","","Cigna","Hmo","3885","","","","","","","fee schedule","1724.73","3993",""
"Abltj 1/+thyr ndul addl prq","60661","HCPCS","","","","","","","facility","outpatient","","","","","","Cigna","Hmo","3885","","","","","","","fee schedule","704","3993",""
"Abltj b9 thyr ndul perq lasr","0673T","HCPCS","","","","","","","facility","outpatient","","","","","","Devoted Health","Medicare Managed Care Plan","1931.7","","","","","","","fee schedule","1724.73","4499","APC, OP Rate"
"Abltj ire liver 1+ tum perq","47384","HCPCS","","","","","","","facility","outpatient","","","","","","Molina","Exchange","16650.77","","","","","","","fee schedule","11100.51","22201.02","APC"
