"""""""Hb Drainage Of Pilonida Cyst-Complicated""","45000077","CDM","450","RC","","","","","facility","both","","","","5133","1796.55","","","","","","","","","","","","","Gross Charge Type: Fsid 100"
"2019 nCoV diagnostic P","U0001","HCPCS","","","","","","","facility","outpatient","","","","","","Baycare","Medicare Managed Care Plan","37","","","","","","","fee schedule","35.92","71.84","APC"
"2d cephalometric image","D0340","HCPCS","","","","","","","facility","outpatient","","","","","","Baycare","Medicare Managed Care Plan","93.6","","","","","","","fee schedule","90.88","181.76","APC"
"2d cephalometric image","D0340","HCPCS","","","","","","","facility","outpatient","","","","","","Sunshine Health","Ambetter Exchange","145.41","","","","","","","fee schedule","90.88","181.76","APC"
"2d tte w or w/o fol w/con,fu","C8924","HCPCS","","","","","","","facility","outpatient","","","","","","Care Plus Health Plans","Medicare Managed Care Plan","370.15","","","","","","","fee schedule","364.32","728.64","APC"
"3-d radiotherapy plan","77295","HCPCS","","","","","","","facility","outpatient","","","","","","Oscar","Exchange","2890.84","","","","","","","fee schedule","1445.42","2890.84","APC"
"3d cntr simula trgt lvr les","0944T","HCPCS","","","","","","","facility","outpatient","","","","","","Capital Health Plan Tallahassee","Medicare Managed Care Plan","249.17","","","","","","","fee schedule","249.17","498.33","APC"
"5% dextrose/normal saline","J7042","HCPCS","","","","","","","facility","outpatient","","","","","","Cigna","Hmo","1.3","","","","","","","fee schedule","1.25","1.44",""
"5% dextrose/water","J7060","HCPCS","","","","","","","facility","outpatient","","","","","","Cigna","Ppo","2.06","","","","","","","fee schedule","1.82","2.2",""
"ACETAZOLAMIDE 500 MG SOLUTION FOR INJECTION [114]","J1120","HCPCS","25021-817-10","NDC","","","","","facility","both","1","EA","","325.18","113.81","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ACETAZOLAMIDE ER 500 MG CAPSULE,EXTENDED RELEASE [8962]","60687-578-21","NDC","","","","","","","facility","both","1","EA","","4.76","1.66","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ACITRETIN 25 MG CAPSULE [13979]","0115-1669-08","NDC","","","","","","","facility","both","1","EA","","30.77","10.77","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ACYCLOVIR SODIUM 50 MG/ML INTRAVENOUS SOLUTION [23128]","J0133","HCPCS","55150-154-10","NDC","","","","","facility","both","1","EA","","33.26","11.64","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ADDITIVE FOR DIALYSIS CALCIUM CHLORIDE 12.5 GRAMS [408307]","9999-0037-01","NDC","","","","","","","facility","both","1","EA","","6.76","2.37","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 PACKET"
"ADENOSINE 3 MG/ML INTRAVENOUS SOLUTION [8975]","J0153","HCPCS","17478-542-02","NDC","","","","","facility","both","1","EA","","249.96","87.48","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ADENOSINE 3 MG/ML INTRAVENOUS SOLUTION [8975]","J0153","HCPCS","17478-953-02","NDC","","","","","facility","both","1","EA","","249.96","87.48","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"AFO spiral prefabricated","L1951","HCPCS","","","","","","","facility","outpatient","","","","","","Sunshine Health","Ambetter Exchange","1660.34","","","","","","","fee schedule","1037.71","2075.42","APC"
"AK/BK self-aligning unit ea","L5617","HCPCS","","","","","","","facility","outpatient","","","","","","Bcbs","Medicare Managed Care Plan","703.98","","","","","","","fee schedule","692.69","1385.38","APC"
"ALBUMIN, HUMAN 5 % INTRAVENOUS SOLUTION [8982]","P9041","HCPCS","44206-310-91","NDC","","","","","facility","both","1","EA","","3.41","1.19","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ALLOPURINOL 100 MG TABLET [310]","16714-041-10","NDC","","","","","","","facility","both","1","EA","","0.11","0.04","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ALLOPURINOL 300 MG TABLET [311]","0904-6572-61","NDC","","","","","","","facility","both","1","EA","","0.67","0.24","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ALPRAZOLAM 0.5 MG TABLET [325]","63739-669-10","NDC","","","","","","","facility","both","1","EA","","0.06","0.02","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ALPROSTADIL 500 MCG/ML INJECTION SOLUTION [9001]","J0270","HCPCS","0009-3169-01","NDC","","","","","facility","both","1","EA","","5240.07","1834.03","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ALUMINUM-MAG HYDROXIDE-SIMETHICONE 200 MG-200 MG-20 MG/5 ML ORAL SUSP [38285]","66689-060-99","NDC","","","","","","","facility","both","1","EA","","0.04","0.02","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"AMILORIDE 5 MG TABLET [391]","50268-071-15","NDC","","","","","","","facility","both","1","EA","","0.72","0.25","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMITRIPTYLINE 50 MG TABLET [436]","51079-133-20","NDC","","","","","","","facility","both","1","EA","","0.57","0.20","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMITRIPTYLINE 75 MG TABLET [437]","51079-147-20","NDC","","","","","","","facility","both","1","EA","","0.86","0.30","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AMPICILLIN 500 MG SOLUTION FOR INJECTION [474]","J0290","HCPCS","44567-101-10","NDC","","","","","facility","both","1","EA","","73.44","25.70","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ANASTROZOLE 1 MG TABLET [16205]","62559-670-30","NDC","","","","","","","facility","both","1","EA","","54.41","19.04","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ARFORMOTEROL 15 MCG/2 ML SOLUTION FOR NEBULIZATION [77581]","J7605","HCPCS","70748-175-01","NDC","","","","","facility","both","1","EA","","7.73","2.71","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ARGATROBAN 1 MG/ML INFUSION FOR EKOS [410383]","J0891","HCPCS","0143-9559-01","NDC","","","","","facility","both","1","EA","","26.28","9.20","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ARGATROBAN 100 MG/ML INTRAVENOUS SOLUTION [28947]","J0883","HCPCS","42023-182-01","NDC","","","","","facility","both","1","EA","","2628.41","919.94","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"ARIPIPRAZOLE 20 MG TABLET [34371]","43598-558-30","NDC","","","","","","","facility","both","1","EA","","0.79","0.28","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ARTESUNATE 110 MG INTRAVENOUS SOLUTION [191293]","73607-011-11","NDC","","","","","","","facility","both","1","EA","","17228.81","6030.08","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ASENAPINE 5 MG SUBLINGUAL TABLET [99754]","0052-0118-06","NDC","","","","","","","facility","both","1","EA","","11.50","4.02","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ASPIRIN 325 MG TABLET,DELAYED RELEASE [685]","57896-921-10","NDC","","","","","","","facility","both","1","EA","","0.01","0.00385","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ASPIRIN 81 MG CHEWABLE TABLET [679]","63739-434-01","NDC","","","","","","","facility","both","1","EA","","0.05","0.02","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"ASPIRIN 81 MG TABLET,DELAYED RELEASE [688]","57896-981-12","NDC","","","","","","","facility","both","1","EA","","0.01","0.00385","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AZATHIOPRINE 50 MG TABLET [9183]","J7500","HCPCS","51079-620-01","NDC","","","","","facility","both","1","EA","","0.55","0.19","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"Abatacept injection","J0129","HCPCS","","","","","","","facility","outpatient","","","","","","Cigna","Medicare Managed Care Plan","47.2","","","","","","","fee schedule","43.38","88.22","APC"
"Abatacept injection","J0129","HCPCS","","","","","","","facility","outpatient","","","","","","Longevity","Medicare Managed Care Plan","48.08","","","","","","","fee schedule","43.38","88.22","APC"
"Abd paracentesis w/imaging","49083","HCPCS","","","","","","","facility","outpatient","","","","","","Health First Health Plans","Medicare Managed Care Plan","1704.86","","","","","","","fee schedule","947.15","2923","APC"
"Abd paracentesis","49082","HCPCS","","","","","","","facility","outpatient","","","","","","Ultimate Health Plans","Medicare Managed Care Plan","994.5","","","","","","","fee schedule","947.15","2923","APC"
"Abdomen surgery procedure","49999","HCPCS","","","","","","","facility","outpatient","","","","","","Devoted Health","Medicare Managed Care Plan","1060.8","","","","","","","fee schedule","947.15","3993","APC, OP Rate"
"Abdomen surgery procedure","49999","HCPCS","","","","","","","facility","outpatient","","","","","","Molina","Exchange","1420.72","","","","","","","fee schedule","947.15","3993","APC"
"Abdominal pad","L1270","HCPCS","","","","","","","facility","outpatient","","","","","","Longevity","Medicare Managed Care Plan","123.87","","","","","","","fee schedule","113.64","227.28","APC"
"Abdominal pad","L1270","HCPCS","","","","","","","facility","outpatient","","","","","","Truli For Health","All Commercial Plans","215.92","","","","","","","fee schedule","113.64","227.28","APC"
"Abduction rotation bar shoe","L3140","HCPCS","","","","","","","facility","outpatient","","","","","","Longevity","Medicare Managed Care Plan","119.93","","","","","","","fee schedule","110.03","220.06","APC"
"Ablate atria w/bypass exten","33256","HCPCS","","","","","","","facility","outpatient","","","","","","Unitedhealthcare","Hmo/Pos","4992","","","","","","","fee schedule","3613","4992",""
"Ablate atria w/o bypass ext","33255","HCPCS","","","","","","","facility","outpatient","","","","","","Cigna","Hmo","3885","","","","","","","fee schedule","3613","4992",""
"Ablate bone tumor(s) perq","20983","HCPCS","","","","","","","facility","outpatient","","","","","","Devoted Health","Medicare Managed Care Plan","8486.81","","","","","","","fee schedule","3885","15155.02","APC, OP Rate"
"Ablate bone tumor(s) perq","20983","HCPCS","","","","","","","facility","outpatient","","","","","","Sunshine Health","Ambetter Exchange","12124.02","","","","","","","fee schedule","3885","15155.02","APC"
"Ablate bone tumor(s) perq","20983","HCPCS","","","","","","","facility","outpatient","","","","","","Truli For Health","All Commercial Plans","14397.27","","","","","","","fee schedule","3885","15155.02","APC"
"Ablate heart dysrhythm focus","33251","HCPCS","","","","","","","facility","outpatient","","","","","","Unitedhealthcare","Hmo/Pos","4992","","","","","","","fee schedule","3613","4992",""
"Ablate inf turbinate submuc","30802","HCPCS","","","","","","","facility","outpatient","","","","","","Cigna","Hmo","1457","","","","","","","fee schedule","990.66","3240.57",""
"Ablate inf turbinate superf","30801","HCPCS","","","","","","","facility","outpatient","","","","","","Freedom Health","Medicare Managed Care Plan","1652.69","","","","","","","fee schedule","990.66","3240.57","APC"
"Ablt b9 brst tum perq lsr ea","0970T","HCPCS","","","","","","","facility","outpatient","","","","","","Simply Healthcare","Exchange","6869.19","","","","","","","fee schedule","4088.81","8177.61","APC"
"Ablt mal brst tum pq lsr uni","0971T","HCPCS","","","","","","","facility","outpatient","","","","","","Baycare","Medicare Managed Care Plan","4211.47","","","","","","","fee schedule","4088.81","8177.61","APC"
"Abltj b9 thyr ndul perq lasr","0673T","HCPCS","","","","","","","facility","outpatient","","","","","","Sunshine Health","Ambetter Exchange","2759.57","","","","","","","fee schedule","1724.73","4499","APC"
"Abltj ire liver 1+ tum perq","47384","HCPCS","","","","","","","facility","outpatient","","","","","","Truli For Health","All Commercial Plans","21090.97","","","","","","","fee schedule","11100.51","22201.02","APC"
"Abltj ire prst8 1+ tum perq","55877","HCPCS","","","","","","","facility","outpatient","","","","","","Freedom Health","Medicare Managed Care Plan","11322.52","","","","","","","fee schedule","11100.51","22201.02","APC"
"Abltj ire prst8 1+ tum perq","55877","HCPCS","","","","","","","facility","outpatient","","","","","","Sunshine Health","Ambetter Value Exchange","16808.4","","","","","","","fee schedule","11100.51","22201.02","APC"
"Abltj perc plex/trncl nrv","0442T","HCPCS","","","","","","","facility","outpatient","","","","","","Molina","Exchange","13746.65","","","","","","","fee schedule","7046","18328.87","APC"
"Abltj perc plex/trncl nrv","0442T","HCPCS","","","","","","","facility","outpatient","","","","","","Simply Healthcare","Medicare Managed Care Plan","9714.3","","","","","","","fee schedule","7046","18328.87","APC"
"Abltj perc uxtr/perph nrv","0440T","HCPCS","","","","","","","facility","outpatient","","","","","","Oscar","Exchange","4078.38","","","","","","","fee schedule","2039.19","9732","APC"
"Abo gnotyp next gnrj seq abo","0221U","HCPCS","","","","","","","facility","outpatient","","","","","","Freedom Health","Medicare Managed Care Plan","280.33","","","","","","","fee schedule","274.83","549.66","APC"
"Abobotulinumtoxina","J0586","HCPCS","","","","","","","facility","outpatient","","","","","","Oscar","Exchange","17.5","","","","","","","fee schedule","8.75","17.5","APC"
"Abobotulinumtoxina","J0586","HCPCS","","","","","","","facility","outpatient","","","","","","Simply Healthcare","Medicare Managed Care Plan","9.28","","","","","","","fee schedule","8.75","17.5","APC"
"Abortion With D&C, Aspiration Curettage Or Hysterotomy","770","MS-DRG","","","","","","","facility","inpatient","","","","","","Aetna","Hmo","22956.48","","","","","","","fee schedule","4610.73","26887.82",""
"Abortion With D&C, Aspiration Curettage Or Hysterotomy","770","MS-DRG","","","","","","","facility","inpatient","","","","","","Freedom Health","Medicare Managed Care Plan","11594.02","","","","","","","fee schedule","4610.73","26887.82","MSDRG Base Rate"
