 ALLOGENEIC BONE MARROW TRANSPLANT,14,DRG,,,,,,,INPATIENT,,,807583.2,323033.28,LIFESOURCE- PEDIATRIC,LIFESOURCE- PEDIATRIC,Commercial,335100,,DRG GROUPER,,,,0,368643.54,3872876.38,OTHER,DRG GROUPER,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
"CONFORM BAND S W >=5""/YD",A6447,HCPCS,272,RC,2720082,CDM,,,OUTPATIENT,,,2,0.8,CIGNA,CIGNA COMMERCIAL,,1.16,58,PERCENT OF BILLED CHARGES,,,,0,0.8,1.8,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF ITEM CHARGES BASED ON REVENUE CODE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
"CONFORM BAND S W >=5""/YD",A6447,HCPCS,272,RC,2720082,CDM,,,OUTPATIENT,,,2,0.8,FIRSTCHOICE,FIRST CHOICE HIGH PERFORMANCE NETWORK,,1.4,70,PERCENT OF BILLED CHARGES,,,,0,0.8,1.8,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
"HC FOAM DRSNG >48 SQ"" W/ BRDR",A6214,HCPCS,272,RC,2720425,CDM,,,OUTPATIENT,,,32,12.8,MULTIPLAN,MULTIPLAN,,25.6,80,PERCENT OF BILLED CHARGES,,,,0,12.8,76.5,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
"HIGH COMPRES BAND W>=3""<5""YD",A6452,HCPCS,271,RC,2710017,CDM,,,OUTPATIENT,,,18,7.2,MOLINA_EXCHANGE,MOLINA MARKETPLACE,,7.2,40,PERCENT OF BILLED CHARGES,,,,0,7.2,16.2,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
"SELF-ADHER BAND W <3""/YD",A6453,HCPCS,272,RC,2720373,CDM,,,OUTPATIENT,,,5,2,AETNA,AETNA,,4.25,85,PERCENT OF BILLED CHARGES,,,,0,2,4.5,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
"SELF-ADHER BAND W <3""/YD",A6453,HCPCS,272,RC,2720373,CDM,,,OUTPATIENT,,,5,2,FIRSTHEALTH,FIRST HEALTH NETWORK,,4,80,PERCENT OF BILLED CHARGES,,,,0,2,4.5,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF ITEM CHARGES BASED ON REVENUE CODE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
"SELF-ADHER BAND W>=3"" <5""/YD",A6454,HCPCS,272,RC,2720372,CDM,,,OUTPATIENT,,,8,3.2,BCBSMISS,BLUE CROSS OF MS,,6,75,PERCENT OF BILLED CHARGES,,,,0,3.2,7.2,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
(CAR-T) THERAPY RECEIPT AND PREPARATION OF CAR-T CELLS FOR ADMINISTRATION,38227,HCPCS,873,RC,8190020,CDM,,,OUTPATIENT,,,958,383.2,FIRSTHEALTH,FIRST HEALTH NETWORK,,766.4,80,PERCENT OF BILLED CHARGES,,,,0,43.35,862.2,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF ITEM CHARGES BASED ON REVENUE CODE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
0.9 % NACL WITH KCL 20 MEQ 20-0.9 MEQ/L-% SOLN 1000 ML FLEX CONT,J3480,HCPCS,250,RC,RXRx00338069104,CDM,0338-0691-04,NDC,BOTH,1000,ML,65,26,FIRSTCHOICE,FIRST CHOICE HIGH PERFORMANCE NETWORK,,45.5,70,PERCENT OF BILLED CHARGES,,,,0,9.1,216,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
0.9 % NACL WITH KCL 40 MEQ 40-0.9 MEQ/L-% SOLN 1000 ML FLEX CONT,J3480,HCPCS,258,RC,RXRx00338069504,CDM,0338-0695-04,NDC,BOTH,1000,ML,20,8,FIRSTCHOICE-HUM,FIRST CHOICE- HUMANA,,14,70,PERCENT OF BILLED CHARGES,,,,0,8,27,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
